Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,3.95,4.76,1.1,1.2,41,174,40,175,6,29
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,3.98,7.25,1.34,1.74,167.1,89.1,140,57,23,18
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,2.96,4.76,1.01,1.2,104.1,174,93.5,175,10.5,29
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,2.5,7.25,0.89,1.74,212.1,89.1,326,57,29,18
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,3.98,9.3,1.34,1.82,167.1,40.2,140,25,23,12
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,2.58,5.77,0.8,1.86,223,57.2,300,45,36,9
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,3.98,9.795,1.34,2.05,167.1,33.6,140,26,23,11.5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,5.445,4.61,1.46,1.44,65.2,148.1,57.5,146,10,14
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,2.58,4.49,0.8,1.33,223,144.1,300,125,36,25
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,2.5,6.91,0.89,1.52,212.1,112,326,82,29,19
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.697,2156,67,1063,4.7,4.34,1.23,1.31,74.2,130.2,82,115,12,21
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.697,2156,67,1063,4.12,6.33,1.19,1.47,91.2,123.2,96,109,15,27
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.697,2156,67,1063,2.5,4.34,0.89,1.31,212.1,130.2,326,115,29,21
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.697,2156,67,1063,2.96,5.155,1.01,1.665,104.1,45.5,93.5,34.5,10.5,9
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1614.32,4.63,6210,5542,1398,218,537,1458,0.252,0.323,0.424,0.747,2352,58,1106,4.12,5.29,1.19,1.46,91.2,85,96,115,15,15
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-1614.32,4.63,6210,5542,1398,218,537,1458,0.252,0.323,0.424,0.747,2352,58,1106,2.58,3.62,0.8,1.14,223,121.2,300,143,36,12
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1614.32,4.63,6210,5542,1398,218,537,1458,0.252,0.323,0.424,0.747,2352,58,1106,2.5,3.72,0.89,1.24,212.1,111.1,326,117,29,14
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1614.32,4.63,6210,5542,1398,218,537,1458,0.252,0.323,0.424,0.747,2352,58,1106,2.96,3.905,1.01,1.29,104.1,70.15,93.5,73,10.5,12.5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,4.12,3.51,1.19,1.21,91.2,159,96,178,15,16
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,3.98,4.01,1.34,1.16,167.1,146,140,140,23,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.58,6.39,0.8,1.46,223,25.1,300,10,36,5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.58,3.51,0.8,1.21,223,159,300,178,36,16
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.5,4.01,0.89,1.16,212.1,146,326,140,29,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,4.7,5.12,1.23,1.52,74.2,165.1,82,135,12,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,4.12,3.68,1.19,1.22,91.2,200.1,96,195,15,26
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,2.58,4.45,0.8,1.24,223,182,300,149,36,28
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,2.5,4.55,0.89,1.48,212.1,31.2,326,37,29,6
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,4.7,3.82,1.23,1.28,74.2,150.2,82,186,12,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,5.86,4.17,1.67,1.23,70.2,69,68,98,9,10
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,4.12,3.82,1.19,1.28,91.2,150.2,96,186,15,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,3.98,4.45,1.34,1.24,167.1,182,140,149,23,28
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,2.58,4.91,0.8,1.3,223,161.1,300,140,36,34
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4.7,2.63,1.23,1.11,74.2,96,82,103,12,8
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.98,5.595,1.34,1.37,167.1,54.65,140,41,23,10.5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4.7,6.85,1.23,1.31,74.2,23.2,82,11,12,7
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.98,2.63,1.34,1.11,167.1,96,140,103,23,8
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,3.89,0.8,1.31,223,176,300,90,36,20
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.5,3.81,0.89,1.19,212.1,144,326,141,29,21
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.5,4.55,0.89,1.305,212.1,81.55,326,74.5,29,10.5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,3.81,0.8,1.19,223,144,300,141,36,21
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,4.41,0.8,1.385,223,82.55,300,79,36,14
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4,3.81,1.22,1.19,18,144,18,141,1,21
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.96,3.89,1.01,1.31,104.1,176,93.5,90,10.5,20
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.98,4.41,1.34,1.385,167.1,82.55,140,79,23,14
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.95,3.89,1.1,1.31,41,176,40,90,6,20
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,4.55,0.8,1.305,223,81.55,300,74.5,36,10.5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1831.66,4.3,6066,5447,1381,157,474,1229,0.254,0.317,0.407,0.725,2218,59,1071,2.5,5.38,0.89,1.41,212.1,145.2,326,113,29,27
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-1831.66,4.3,6066,5447,1381,157,474,1229,0.254,0.317,0.407,0.725,2218,59,1071,5.86,4.91,1.67,1.36,70.2,73.1,68,41,9,15
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-1831.66,4.3,6066,5447,1381,157,474,1229,0.254,0.317,0.407,0.725,2218,59,1071,4.12,4.44,1.19,1.22,91.2,170.1,96,157,15,21
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,3.98,5.71,1.34,1.45,167.1,121.1,140,92,23,28
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.58,6.4,0.8,1.53,223,71.2,300,57,36,17
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.5,3.99,0.89,1.31,212.1,203,326,147,29,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,5.59,4.21,1.81,1.465,19.1,27.55,19,23.5,8,2.5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,3.98,7.71,1.34,1.5,167.1,4.2,140,2,23,2
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,4.12,4.31,1.19,1.315,91.2,98.5,96,63.5,15,20.5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.58,8.6975,0.8,1.86,223,12.05,300,16.75,36,2
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,3.98,4.66,1.34,1.66,167.1,9.2,140,10,23,2
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.58,5.46,0.8,1.52,223,161.2,300,116,36,36
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.5,3.99,0.89,1.31,212.1,203,326,147,29,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,3.98,5.46,1.34,1.52,167.1,161.2,140,116,23,36
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,5.445,3.99,1.46,1.31,65.2,203,57.5,147,10,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.58,2.35,0.8,1.04,223,23,300,27,36,1
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,3.98,3.99,1.34,1.31,167.1,203,140,147,23,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,5.86,6,1.67,1.67,70.2,21,68,11,9,2
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.58,5.46,0.8,1.52,223,161.2,300,116,36,36
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.5,6.4,0.89,1.53,212.1,71.2,326,57,29,17
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.5,2.7,0.89,1.65,212.1,6.2,326,5,29,0
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.96,5.46,1.01,1.52,104.1,161.2,93.5,116,10.5,36
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1096.82,4.69,6200,5498,1369,205,525,1380,0.249,0.321,0.409,0.73,2250,80,1101,3.95,2.75,1.1,0.97,41,196.1,40,231,6,25
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1096.82,4.69,6200,5498,1369,205,525,1380,0.249,0.321,0.409,0.73,2250,80,1101,2.5,3.7,0.89,1.27,212.1,48.2,326,52,29,6
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1096.82,4.69,6200,5498,1369,205,525,1380,0.249,0.321,0.409,0.73,2250,80,1101,3.98,3.35,1.34,1.41,167.1,174.2,140,136,23,22
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1260.34,4.42,6195,5475,1415,150,540,1388,0.258,0.333,0.406,0.74,2225,101,1156,2.58,4.29,0.8,1.27,223,107,300,147,36,14
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1260.34,4.42,6195,5475,1415,150,540,1388,0.258,0.333,0.406,0.74,2225,101,1156,2.5,3.05,0.89,1.08,212.1,194.2,326,240,29,15
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1260.34,4.42,6195,5475,1415,150,540,1388,0.258,0.333,0.406,0.74,2225,101,1156,4.7,1.78,1.23,0.89,74.2,60.2,82,76,12,4
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1260.34,4.42,6195,5475,1415,150,540,1388,0.258,0.333,0.406,0.74,2225,101,1156,3.98,3.85,1.34,1.05,167.1,133.1,140,114,23,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1794.85,5.05,6300,5595,1447,216,554,1189,0.259,0.332,0.434,0.766,2430,80,1147,3.86,3.38,1.17,1.13,128.1,192,142,231,12,21
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1794.85,5.05,6300,5595,1447,216,554,1189,0.259,0.332,0.434,0.766,2430,80,1147,2.88,2.21,1.03,1.09,200.1,175.1,276,221,19,9
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,2.88,4.55,1.03,1.27,200.1,176,276,164,19,30
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,3.13,5.12,1.16,1.35,167,172.1,201,183,18,27
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,2.52,3.77,0.9,1.2,214,196,290,230,28,24
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,2.88,4.55,1.03,1.27,200.1,176,276,164,19,30
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,2.88,4.69,1.03,1.31,200.1,132.1,276,110,19,19
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,2.52,4.58,0.9,1.5,214,133.2,290,110,28,19
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,2.52,4.58,0.9,1.5,214,133.2,290,110,28,19
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,2.19,4.52,1.24,1.26,37,131.1,34,111,3,28
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1781.36,3.89,6029,5494,1326,135,428,1341,0.241,0.3,0.38,0.68,2085,52,1071,2.88,5.68,1.03,1.47,200.1,44.1,276,51,19,8
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.697,2156,67,1063,3.74,4.88,1.31,1.49,204.2,155,153,141,18,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.697,2156,67,1063,3.86,3.08,1.17,1.3,128.1,140.1,142,96,12,7
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.697,2156,67,1063,3.74,4.88,1.31,1.49,204.2,155,153,141,18,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.697,2156,67,1063,3.86,4.66,1.17,1.38,128.1,119.2,142,105,12,20
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.697,2156,67,1063,2.88,6.02,1.03,1.63,200.1,127,276,92,19,18
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2206.37,4.93,6358,5572,1394,235,647,1436,0.25,0.333,0.442,0.774,2461,61,1163,2.52,3.68,0.9,1.21,214,151.2,290,135,28,14
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2206.37,4.93,6358,5572,1394,235,647,1436,0.25,0.333,0.442,0.774,2461,61,1163,3.86,3.81,1.17,1.26,128.1,125.1,142,153,12,13
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2206.37,4.93,6358,5572,1394,235,647,1436,0.25,0.333,0.442,0.774,2461,61,1163,2.88,2.62,1.03,0.96,200.1,137.1,276,151,19,12
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.52,4.62,0.9,1.48,214,78.1,290,80.5,28,7
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,3.74,4.49,1.31,1.34,204.2,164.1,153,162,18,20
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,3.86,3.62,1.17,1.3,128.1,196.2,142,179,12,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,3.74,3.62,1.31,1.3,204.2,196.2,153,179,18,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.52,3.2,0.9,1.03,214,25.1,290,36,28,4
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-1702.18,4.56,6154,5526,1379,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.19,4.49,1.24,1.34,37,164.1,34,162,3,20
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,3.13,4.9,1.16,1.5,167,130.1,201,123,18,14
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,2.52,3.62,0.9,1.35,214,27.1,290,23,28,3
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,3.74,3.39,1.31,1.14,204.2,191.1,153,220,18,19
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,3.86,3.75,1.17,1.13,128.1,156,142,159,12,25
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,2.52,5.57,0.9,1.33,214,85.2,290,102,28,15
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,3.13,3.65,1.16,1.31,167,153,201,140,18,19
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,3.74,3.39,1.31,1.14,204.2,191.1,153,220,18,19
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.74,3.59,1.31,1.08,204.2,160.2,153,108,18,21
